"segment_title";"question_nmbr";"question_titl";"question_hint";"question_lvls";"question_lvds"
"Operaciones";"Pregunta 2 de 3";"¿Qué tan avanzados son los sistemas para respaldar las operaciones de marketing en tiempo real?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"4";"Desarrollamos aplicaciones y modelos analíticos de manera constante, haciendo coincidir los cambios rápidos en los enfoques multicanal."
"Operaciones";"Pregunta 2 de 3";"¿Qué tan avanzados son los sistemas para respaldar las operaciones de marketing en tiempo real?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"3";"Las suites o plataformas de marketing automatizan los procesos, mejoran la interoperabilidad y el tiempo de comercialización."
"Operaciones";"Pregunta 2 de 3";"¿Qué tan avanzados son los sistemas para respaldar las operaciones de marketing en tiempo real?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"2";"Los equipos de proyecto consideran nuevas funciones para automatizar áreas manuales y crear planes para ROI y TCO."
"Operaciones";"Pregunta 2 de 3";"¿Qué tan avanzados son los sistemas para respaldar las operaciones de marketing en tiempo real?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"1";"Las personas realizan tareas operativas con aplicaciones y procesos aislados."
"Operaciones";"Pregunta 3 de 3";"¿Qué tan bien se recopilan, analizan y ponen a disposición los datos para una mejor toma de decisiones?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"5";"Nuestro centro de marketing digital nos permite apuntar a nuestros prospectos de mayor valor y mejorar el valor de vida del cliente."
"Operaciones";"Pregunta 3 de 3";"¿Qué tan bien se recopilan, analizan y ponen a disposición los datos para una mejor toma de decisiones?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"4";"Contamos con herramientas de integración de datos en tiempo real para respaldar el marketing de contenido, social y basado en la ubicación."
"Operaciones";"Pregunta 3 de 3";"¿Qué tan bien se recopilan, analizan y ponen a disposición los datos para una mejor toma de decisiones?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"3";"La mayoría de los datos de los clientes y algunas fuentes de terceros están integrados. Los datos en tiempo real todavía están en gran parte aislados."
"Operaciones";"Pregunta 3 de 3";"¿Qué tan bien se recopilan, analizan y ponen a disposición los datos para una mejor toma de decisiones?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"2";"Las herramientas de integración punto a punto y las personalizaciones ayudan a automatizar ciertos pasos en los procesos de marketing."
"Operaciones";"Pregunta 3 de 3";"¿Qué tan bien se recopilan, analizan y ponen a disposición los datos para una mejor toma de decisiones?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"1";"Los datos se almacenan en silos, se recopilan en diferentes momentos de diferentes sistemas con calidad variable."
"Innovación";"Pregunta 1 de 3";"¿Qué tan bien gestiona una cartera de nuevas ideas?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"5";"La innovación es una norma cultural, fomentada, recompensada y continua, que proporciona una ventaja competitiva."
"Innovación";"Pregunta 1 de 3";"¿Qué tan bien gestiona una cartera de nuevas ideas?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"4";"Hemos aprendido a colaborar con la creatividad, aprovechando fuentes externas para nuevas ideas de productos y campañas."
"Innovación";"Pregunta 1 de 3";"¿Qué tan bien gestiona una cartera de nuevas ideas?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"3";"Somos una \"maravilla de un solo éxito\" cuando se trata de ideas originales que podemos lanzar al mercado."
"Innovación";"Pregunta 1 de 3";"¿Qué tan bien gestiona una cartera de nuevas ideas?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"2";"Participamos en juegos de competencia con rivales."
"Innovación";"Pregunta 1 de 3";"¿Qué tan bien gestiona una cartera de nuevas ideas?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"1";"Tendemos a encontrarnos persiguiendo las últimas tendencias de la competencia."
"Innovación";"Pregunta 2 de 3";"¿Qué tan bien se apoya la innovación y la creatividad?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"5";"Somos reconocidos como los que emulan la innovación y lideran nuestra industria en ideas que mueven el mercado."
"Innovación";"Pregunta 2 de 3";"¿Qué tan bien se apoya la innovación y la creatividad?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"4";"Innovamos en todas las funciones y podemos mostrar resultados en el desempeño de primera línea de la empresa."
"Innovación";"Pregunta 2 de 3";"¿Qué tan bien se apoya la innovación y la creatividad?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"3";"Tenemos un presupuesto de innovación significativo y realizamos experimentos, pilotos y pruebas con regularidad."
"Innovación";"Pregunta 2 de 3";"¿Qué tan bien se apoya la innovación y la creatividad?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"2";"Fomentamos la innovación y las ideas creativas, pero luchamos con el proceso y el tiempo de comercialización."
"Innovación";"Pregunta 2 de 3";"¿Qué tan bien se apoya la innovación y la creatividad?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"1";"En ocasiones, tenemos nuevas ideas, pero es una lucha venderlo internamente."
"Innovación";"Pregunta 3 de 3";"¿Ha logrado el equilibrio adecuado entre arte y ciencia en marketing?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"5";"Las buenas ideas tienen prioridad sobre un análisis exhaustivo. Ganamos premios tanto por creatividad como por resultados comerciales."
"Innovación";"Pregunta 3 de 3";"¿Ha logrado el equilibrio adecuado entre arte y ciencia en marketing?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"4";"Tenemos una buena combinación de creatividad grande y valiente respaldada por una validación de datos sólida que guía la ejecución."
"Innovación";"Pregunta 3 de 3";"¿Ha logrado el equilibrio adecuado entre arte y ciencia en marketing?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"3";"Tenemos nuevas ideas para productos, campañas creativas y cambios, pero a menudo perdemos las ventajas de ser los primeros."
"Innovación";"Pregunta 3 de 3";"¿Ha logrado el equilibrio adecuado entre arte y ciencia en marketing?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"2";"Reconocemos la buena creatividad cuando la vemos en los demás, pero rara vez avanzamos en ideas realmente audaces y originales."
"Innovación";"Pregunta 3 de 3";"¿Ha logrado el equilibrio adecuado entre arte y ciencia en marketing?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"1";"Estamos muy centrados en los datos en todo lo que hacemos. Ninguna nueva idea creativa avanza sin una prueba de que funcionará."
